Participant_ID,Group,Age,Gender,Daily_RE_Mean,Daily_RE_Mean_Z,sdRE,meanEMAPos,sdEMAPos,meanEMANeg,sdEMANeg,meanOverallAffect,sdOverallAffect,DOSPERT_Total,DOSPERT_Percent,CARE_Total,CARE_Percent,Age_Z,AgeZ_Squared,SN_Phone_Final,SN_Text_Final,SN_Phone_Text_Final,Novelty_Average_FirstTenDaysRemoved,Novelty_sd_FirstTenDaysRemoved
P58,2,20.07,F,3.977503569,-0.844376722,2.370405921,55.48780488,14.41721532,45.12195122,13.81339046,10.36585366,26.23142781,75,0.357142857,59,0.24789916,0.248360029,0.061682704,18,12,30,8.846153846,12.18378888
P20,2,20.6,F,4.245531252,-0.613134138,2.506829622,57.175,21.66278565,42.29268293,22.58234255,15.375,43.5187478,77,0.366666667,44,0.18487395,0.379990845,0.144393042,NA,NA,NA,12.67741935,12.42257885
P32,2,22.69,F,3.914329955,-0.898880158,2.408750653,61.95,32.57728483,37.775,32.94789009,24.175,63.39007748,119,0.566666667,65,0.273109244,0.899063306,0.808314829,14,10,24,17.05555556,19.11476429
P17,2,22.19,M,5.741365324,0.677406198,2.165371164,96.57142857,5.028490259,1.285714286,2.360387377,95.28571429,7.111359123,105,0.5,66,0.277310924,0.774883292,0.600444115,NA,NA,NA,86,52.98786923
P49,2,19.93,F,4.645767256,-0.267827986,3.127552627,75.5,24.96132143,27.71052632,27.1182674,47.78947368,50.10214318,85,0.404761905,64,0.268907563,0.213589625,0.045620528,5,8,13,44.88709677,40.83196467
P45,2,27.65,M,5.172368931,0.186500949,2.628748641,75.6969697,12.90224023,29,18.88562063,47.06060606,25.59167271,86,0.40952381,64,0.268907563,2.130929052,4.540858623,12,5,17,55.49180328,42.74795237
P57,2,20.74,F,6.457862053,1.295568296,1.789446631,66.25,26.90127453,33.88888889,26.44647184,32.36111111,50.94319121,103,0.49047619,94,0.394957983,0.414761249,0.172026894,31,40,71,28.79365079,22.41770522
P35,2,19.79,F,5.542761925,0.506059855,1.64819403,63.42857143,20.44163954,35.26190476,19.8961444,28.16666667,37.91963046,75,0.357142857,123,0.516806723,0.178819221,0.031976314,18,17,35,26.09836066,15.85213437
P48,1,16.01,F,3.5884123,-1.180067683,2.16110115,83.8,35.30753775,19.2,36.05181456,64.6,71.00579006,86,0.315018315,54,0.226890756,-0.75998169,0.577572169,4,17,21,9.8,6.120224086
P52,2,18.62,M,4.4825411,-0.408652388,2.068514129,60.77777778,32.82494667,38.61111111,32.90474468,22.16666667,65.33285814,132,0.628571429,77,0.323529412,-0.111762013,0.012490748,NA,NA,NA,26.84,14.67333182
P22,2,26.47,F,5.869800816,0.788214733,1.818492666,72.53333333,19.17925124,25.23333333,24.63202756,47.3,39.87406901,80,0.380952381,78,0.327731092,1.837864217,3.37774488,10,22,32,34.68852459,16.42207963
P41,1,14.73,M,4.898439936,-0.049833029,2.034399612,53.72727273,19.84485278,44.90909091,12.1281041,8.818181818,30.36714732,129,0.472527473,78,0.327731092,-1.077882527,1.161830743,NA,NA,NA,11.05263158,6.096207238
P04,1,15.79,F,3.348861339,-1.386741794,2.100593174,73.22222222,27.94649416,31.27777778,24.97011285,41.94444444,52.3500348,81,0.296703297,77,0.323529412,-0.814620896,0.663607205,9,26,35,12.67924528,11.88368886
P16,2,20,F,6.870352862,1.651447359,1.166107984,71.09756098,23.81470646,27.80487805,23.2359845,43.29268293,46.82533711,55,0.261904762,75,0.31512605,0.230974827,0.053349371,83,66,149,45.66129032,34.76569986
P05,1,15.88,F,3.700560509,-1.083311104,2.512679538,56.82857143,25.39741269,42.25714286,25.29048049,14.57142857,49.65604383,116,0.424908425,88,0.369747899,-0.792268494,0.627689366,2,8,10,12.59677419,17.32094314
P43,1,17.7,M,5.85676846,0.776970985,1.624787157,61.97222222,23.14980544,39.33333333,18.80121577,22.63888889,39.86918092,135,0.494505495,140,0.588235294,-0.34025324,0.115772267,82,31,113,29.41935484,32.90201468
P30,1,14.08,F,4.456148892,-0.431422433,1.403879814,85.81818182,12.06351562,12.45454545,6.671257889,73.36363636,14.85937873,77,0.282051282,64,0.268907563,-1.239316546,1.535905502,10,15,25,27.64197531,32.22821304
P51,1,17.55,F,4.489768763,-0.402416676,1.124917777,56.32142857,17.11411281,46.6,15.50661705,9.535714286,30.28810076,132,0.483516484,81,0.340336134,-0.377507245,0.14251172,NA,NA,NA,22.78378378,17.02075306
P29,2,21.41,M,5.824449474,0.749087575,1.987747594,63.33333333,20.4164966,30.9047619,12.98808978,32.42857143,31.09593451,109,0.519047619,114,0.478991597,0.581162469,0.337749815,NA,NA,NA,21.51923077,15.68625024
